From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Function [CC]	Pathway	Developmental stage	Tissue specificity	Gene Ontology (GO)
ARF_VIGUN	O48920	ARF_VIGUN	ADP-ribosylation factor	ARF	Vigna unguiculata (Cowpea)	181	FUNCTION: GTP-binding protein involved in protein trafficking; may modulate vesicle budding and uncoating within the Golgi apparatus.				Golgi apparatus [GO:0005794]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; protein transport [GO:0015031]; vesicle-mediated transport [GO:0016192]
AROC1_SOLLC	Q42884	AROC1_SOLLC	Chorismate synthase 1, chloroplastic (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase 1)	CS1	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	440	FUNCTION: Catalyzes the last common step of the biosynthesis of aromatic amino acids, produced via the shikimic acid pathway.	PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 7/7.		TISSUE SPECIFICITY: Predominantly expressed in flowers and roots and, to a lesser extent, in stems, leaves, and cotyledons.	chloroplast [GO:0009507]; cytosol [GO:0005829]; chorismate synthase activity [GO:0004107]; FMN binding [GO:0010181]; amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]
AROC2_SOLLC	Q42885	AROC2_SOLLC	Chorismate synthase 2, chloroplastic (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase 2)	CS2	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	431	FUNCTION: Catalyzes the last common step of the biosynthesis of aromatic amino acids, produced via the shikimic acid pathway.	PATHWAY: Metabolic intermediate biosynthesis; chorismate biosynthesis; chorismate from D-erythrose 4-phosphate and phosphoenolpyruvate: step 7/7.		TISSUE SPECIFICITY: Predominantly expressed in flowers and roots and, to a lesser extent, in stems, leaves, and cotyledons.	chloroplast [GO:0009507]; cytosol [GO:0005829]; chorismate synthase activity [GO:0004107]; FMN binding [GO:0010181]; amino acid biosynthetic process [GO:0008652]; aromatic amino acid family biosynthetic process [GO:0009073]; chorismate biosynthetic process [GO:0009423]
ASOL_BRANA	Q00624	ASOL_BRANA	L-ascorbate oxidase homolog (EC 1.10.3.-)	Bp10	Brassica napus (Rape)	555	FUNCTION: Probable oxidase that may be involved in pollen tube growth. {ECO:0000250}.			TISSUE SPECIFICITY: Maximal expression in early binucleate microspores; declines considerably in mature trinucleate pollen. {ECO:0000269|PubMed:1303799}.	extracellular region [GO:0005576]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]
ASOL_TOBAC	P29162	ASOL_TOBAC	L-ascorbate oxidase homolog (EC 1.10.3.-) (Pollen-specific protein NTP303)		Nicotiana tabacum (Common tobacco)	554	FUNCTION: Probable oxidoreductase that may be involved in pollen tube growth. {ECO:0000269|PubMed:1600146}.		DEVELOPMENTAL STAGE: Appears after the first haploid mitosis and are expressed during microgametogenesis, germination and tube growth. {ECO:0000269|PubMed:1600146}.	TISSUE SPECIFICITY: Pollen. {ECO:0000269|PubMed:1600146}.	extracellular space [GO:0005615]; copper ion binding [GO:0005507]; oxidoreductase activity [GO:0016491]
ASR2_SOLLC	P37219	ASR2_SOLLC	Abscisic stress-ripening protein 2	ASR2	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	114					
ASR3_SOLLC	P37220	ASR3_SOLLC	Abscisic stress-ripening protein 3	ASR3	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	108					
ATP9_ARATH	P60112	ATP9_ARATH	ATP synthase subunit 9, mitochondrial (Lipid-binding protein)	ATP9 AtMg01080	Arabidopsis thaliana (Mouse-ear cress)	85	FUNCTION: This protein is one of the chains of the nonenzymatic membrane component (F0) of mitochondrial ATPase.				mitochondrial proton-transporting ATP synthase complex, coupling factor F(o) [GO:0000276]; ATP binding [GO:0005524]; lipid binding [GO:0008289]; proton transmembrane transporter activity [GO:0015078]; proton motive force-driven ATP synthesis [GO:0015986]
ATPAM_NICPL	P05495	ATPAM_NICPL	ATP synthase subunit alpha, mitochondrial	ATPA	Nicotiana plumbaginifolia (Leadwort-leaved tobacco) (Tex-Mex tobacco)	509	FUNCTION: Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation. Subunits alpha and beta form the catalytic core in F(1). Rotation of the central stalk against the surrounding alpha(3)beta(3) subunits leads to hydrolysis of ATP in three separate catalytic sites on the beta subunits. Subunit alpha does not bear the catalytic high-affinity ATP-binding sites (By similarity). {ECO:0000250}.				mitochondrial inner membrane [GO:0005743]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]
ATPA_NICSY	Q3C1H4	ATPA_NICSY	ATP synthase subunit alpha, chloroplastic (EC 7.1.2.2) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	atpA	Nicotiana sylvestris (Wood tobacco) (South American tobacco)	507	FUNCTION: Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit. {ECO:0000255|HAMAP-Rule:MF_01346}.				chloroplast thylakoid membrane [GO:0009535]; proton-transporting ATP synthase complex, catalytic core F(1) [GO:0045261]; ATP binding [GO:0005524]; proton-transporting ATP synthase activity, rotational mechanism [GO:0046933]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]
BH079_ARATH	Q9LV17	BH079_ARATH	Transcription factor bHLH79 (Basic helix-loop-helix protein 79) (AtbHLH79) (bHLH 79) (Transcription factor EN 81) (bHLH transcription factor bHLH079)	BHLH79 EN81 At5g62610 MRG21.2	Arabidopsis thaliana (Mouse-ear cress)	281					nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; transcription cis-regulatory region binding [GO:0000976]; regulation of DNA-templated transcription [GO:0006355]
BH094_ORYSJ	Q69WS3	BH094_ORYSJ	Transcription factor BHLH094 (Basic helix-loop-helix protein 94) (OsbHLH094) (bHLH transcription factor bHLH094)	BHLH094 Os07g0193800 LOC_Os07g09590 OJ1118_E12.15	Oryza sativa subsp. japonica (Rice)	256	FUNCTION: Transcription factor that forms a ternary complex with RSS3 and TIFY11A/JAZ9 to negatively regulate jasmonate-responsive genes. {ECO:0000269|PubMed:23715469}.				nucleus [GO:0005634]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; regulation of DNA-templated transcription [GO:0006355]
C7D55_HYOMU	A6YIH8	C7D55_HYOMU	Premnaspirodiene oxygenase (HPO) (EC 1.14.14.151) (Cytochrome P450 71D55)	CYP71D55	Hyoscyamus muticus (Egyptian henbane)	502	FUNCTION: Involved in the biosynthesis of solavetivone, a potent antifungal phytoalexin. Catalyzes the successive and independent hydroxylations of premnaspirodiene and solavetivol. The first hydroxylation step is 3-fold more efficient than the second hydroxylation reaction.				membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
CAD2_MEDTR	G7IYC1	CAD2_MEDTR	Cinnamoyl-CoA reductase CAD2 (EC 1.2.1.44) (Cinnamyl alcohol dehydrogenase 2) (Mt-CAD2) (Coumaroyl-CoA reductase) (Feruloyl-CoA reductase) (Sinapoyl-CoA reductase)	CAD2 MTR_3g005170 MtrunA17_Chr3g0077221	Medicago truncatula (Barrel medic) (Medicago tribuloides)	326	FUNCTION: Involved in lignin biosynthesis (By similarity). Regulates the monolignol composition by catalyzing the conversion of cinnamoyl-CoAs into their corresponding cinnamaldehydes (By similarity). Can use coumaraldehyde and coniferaldehyde as substrates, but barely sinapaldehyde (PubMed:25217505). {ECO:0000250|UniProtKB:A0A059TC02, ECO:0000269|PubMed:25217505}.	PATHWAY: Aromatic compound metabolism; phenylpropanoid biosynthesis. {ECO:0000269|PubMed:25217505}.			cytoplasm [GO:0005737]; cinnamyl-alcohol dehydrogenase activity [GO:0045551]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]; sinapyl alcohol dehydrogenase activity [GO:0052747]; phenylpropanoid biosynthetic process [GO:0009699]
CALM1_DAUCA	P62200	CALM1_DAUCA	Calmodulin-1/11/16 (CaM-1/11/16)	CAM-1; CAM-11; CAM-16	Daucus carota (Wild carrot)	149	FUNCTION: Calmodulin mediates the control of a large number of enzymes, ion channels and other proteins by Ca(2+). Among the enzymes to be stimulated by the calmodulin-Ca(2+) complex are a number of protein kinases and phosphatases.				calcium ion binding [GO:0005509]
CALM_SOLLC	P27161	CALM_SOLLC	Calmodulin (CaM)	CALM1	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	149	FUNCTION: Calmodulin mediates the control of a large number of enzymes, ion channels and other proteins by Ca(2+). Among the enzymes to be stimulated by the calmodulin-Ca(2+) complex are a number of protein kinases and phosphatases.				calcium ion binding [GO:0005509]; enzyme regulator activity [GO:0030234]
CALX1_ARATH	P29402	CALX1_ARATH	Calnexin homolog 1	CNX1 At5g61790 MAC9.11	Arabidopsis thaliana (Mouse-ear cress)	530	FUNCTION: Calcium-binding protein that interacts with newly synthesized monoglucosylated glycoproteins in the endoplasmic reticulum. It may act in assisting protein assembly and/or in the retention within the ER of unassembled protein subunits. It seems to play a major role in the quality control apparatus of the ER by the retention of incorrectly folded proteins (By similarity). {ECO:0000250}.				chloroplast [GO:0009507]; endoplasmic reticulum [GO:0005783]; endoplasmic reticulum membrane [GO:0005789]; mitochondrion [GO:0005739]; plant-type cell wall [GO:0009505]; plant-type vacuole [GO:0000325]; plasmodesma [GO:0009506]; vacuole [GO:0005773]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; ubiquitin-dependent ERAD pathway [GO:0030433]
CALX_SOYBN	Q39817	CALX_SOYBN	Calnexin homolog		Glycine max (Soybean) (Glycine hispida)	546	FUNCTION: Calcium-binding protein that interacts with newly synthesized monoglucosylated glycoproteins in the endoplasmic reticulum. It may act in assisting protein assembly and/or in the retention within the ER of unassembled protein subunits. It seems to play a major role in the quality control apparatus of the ER by the retention of incorrectly folded proteins (By similarity). {ECO:0000250}.				endoplasmic reticulum membrane [GO:0005789]; calcium ion binding [GO:0005509]; carbohydrate binding [GO:0030246]; unfolded protein binding [GO:0051082]; protein folding [GO:0006457]; ubiquitin-dependent ERAD pathway [GO:0030433]
CCMFC_ARATH	P93286	CCMFC_ARATH	Cytochrome c biogenesis CcmF C-terminal-like mitochondrial protein (Cytochrome c biogenesis orf452)	CCMFC CCB452 CCB6C AtMg00180	Arabidopsis thaliana (Mouse-ear cress)	442	FUNCTION: Forms a complex with CCMFN1, CCMFN2 and CCMH that performs the assembly of heme with c-type apocytochromes in mitochondria. {ECO:0000269|PubMed:18644794}.				mitochondrial inner membrane [GO:0005743]; cytochrome complex assembly [GO:0017004]
CCS_CITSI	Q9SEA0	CCS_CITSI	Capsanthin/capsorubin synthase, chromoplastic (EC 5.3.99.8)	CCS	Citrus sinensis (Sweet orange) (Citrus aurantium var. sinensis)	503	FUNCTION: Catalyzes the conversion of the ubiquitous 5,6-epoxycarotenoids, antheraxanthin and violaxanthin, into capsanthin and capsorubin, respectively.	PATHWAY: Carotenoid biosynthesis; capsanthin biosynthesis; capsanthin from antheraxanthin: step 1/1.; PATHWAY: Carotenoid biosynthesis; capsorubin biosynthesis; capsorubin from violaxanthin: step 1/1.			chromoplast [GO:0009509]; capsanthin synthase activity [GO:0052727]; capsorubin synthase activity [GO:0052728]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; carotenoid biosynthetic process [GO:0016117]
CESA2_ARATH	O48947	CESA2_ARATH	Cellulose synthase A catalytic subunit 2 [UDP-forming] (AtCesA2) (Ath-A) (EC 2.4.1.12)	CESA2 ATHA At4g39350 T22F8.250	Arabidopsis thaliana (Mouse-ear cress)	1084	FUNCTION: Catalytic subunit of cellulose synthase terminal complexes ('rosettes'), required for beta-1,4-glucan microfibril crystallization, a major mechanism of the cell wall formation. Involved in the primary cell wall formation. {ECO:0000269|PubMed:12068120, ECO:0000269|PubMed:17085513, ECO:0000269|PubMed:17878303}.	PATHWAY: Glycan metabolism; plant cellulose biosynthesis.	DEVELOPMENTAL STAGE: Expressed throughout the embryo during all steps of embryogenesis, and decrease toward the bent-cotyledon stage. {ECO:0000269|PubMed:12481071}.	TISSUE SPECIFICITY: Strongly and ubiquitously expressed. Localized in some dividing and expanding cells, as well as in vascular tissues. {ECO:0000269|PubMed:11517344, ECO:0000269|PubMed:12068120, ECO:0000269|PubMed:12481071, ECO:0000269|PubMed:17085513}.	plasma membrane [GO:0005886]; cellulose synthase (UDP-forming) activity [GO:0016760]; cellulose synthase activity [GO:0016759]; metal ion binding [GO:0046872]; cell wall organization [GO:0071555]; cellulose biosynthetic process [GO:0030244]; plant-type primary cell wall biogenesis [GO:0009833]
CHM1B_ARATH	Q9SSM4	CHM1B_ARATH	ESCRT-related protein CHMP1B (Protein CHARGED MULTIVESICULAR BODY PROTEIN 1B) (Protein CHROMATIN MODIFYING PROTEIN 1B) (Vacuolar protein-sorting-associated protein 46.2)	CHMP1B VPS46.2 At1g73030 F3N23.23	Arabidopsis thaliana (Mouse-ear cress)	203	FUNCTION: Involved in ESCRT-dependent multivesicular body (MVB) formation and sorting of endosomal cargo proteins into MVBs. Mediates the MVB sorting of the auxin carriers PIN1, PIN2 and AUX1. Required for embryonic axis establishment and seedling growth (PubMed:19304934). Required for autophagic degradation of plastid proteins. Promotes the efficient sequestration of cargo from plastids into autophagosomes. Mediates the efficient delivery of autophagic plastid bodies to the vacuole, but not into the cytoplasm (PubMed:25649438). {ECO:0000269|PubMed:19304934, ECO:0000269|PubMed:25649438}.				ESCRT III complex [GO:0000815]; mitochondrion [GO:0005739]; multivesicular body [GO:0005771]; embryo development ending in seed dormancy [GO:0009793]; embryonic axis specification [GO:0000578]; endosome transport via multivesicular body sorting pathway [GO:0032509]; late endosome to vacuole transport [GO:0045324]; protein transport [GO:0015031]; seedling development [GO:0090351]
CHRC1_ONCHC	B2LU34	CHRC1_ONCHC	Chromoplast-specific carotenoid-associated protein C1, chromoplastic (OgCHRC1) (Fibrillin-like protein 1) (Plastid lipid-associated protein CHRC1)	CHRC1 FIB1	Oncidium hybrid cultivar (Orchid)	319	FUNCTION: May be involved in carotenoid sequestration within chromoplasts. {ECO:0000250}.			TISSUE SPECIFICITY: Expressed in flower buds and floral lip tissues. Not detected in roots and leaves. Specifically expressed in conical papillate cells of adaxial epidermis of lip tissues. {ECO:0000269|PubMed:18575811}.	chromoplast [GO:0009509]
CLPAB_SOLLC	P31542	CLPAB_SOLLC	ATP-dependent Clp protease ATP-binding subunit ClpA homolog CD4B, chloroplastic	CD4B	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	923	FUNCTION: May interact with a ClpP-like protease involved in degradation of denatured proteins in the chloroplast.				chloroplast [GO:0009507]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]
CLPP_NICSY	Q3C1K4	CLPP_NICSY	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP	Nicotiana sylvestris (Wood tobacco) (South American tobacco)	196	FUNCTION: Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins. {ECO:0000255|HAMAP-Rule:MF_00444}.				chloroplast stroma [GO:0009570]; ATP-dependent peptidase activity [GO:0004176]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]
CLPP_SPIOL	Q9M3K5	CLPP_SPIOL	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Endopeptidase Clp)	clpP	Spinacia oleracea (Spinach)	196	FUNCTION: Cleaves peptides in various proteins in a process that requires ATP hydrolysis. Has a chymotrypsin-like activity. Plays a major role in the degradation of misfolded proteins. {ECO:0000255|HAMAP-Rule:MF_00444}.				chloroplast stroma [GO:0009570]; endopeptidase Clp complex [GO:0009368]; ATP-dependent peptidase activity [GO:0004176]; ATPase binding [GO:0051117]; serine-type endopeptidase activity [GO:0004252]; protein quality control for misfolded or incompletely synthesized proteins [GO:0006515]
COX1_BETVU	P24794	COX1_BETVU	Cytochrome c oxidase subunit 1 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide I)	COX1 COXI	Beta vulgaris (Sugar beet)	524	FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of subunit 2 and heme A of subunit 1 to the active site in subunit 1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules using 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix. {ECO:0000250|UniProtKB:P00401}.	PATHWAY: Energy metabolism; oxidative phosphorylation. {ECO:0000250|UniProtKB:P00401}.			mitochondrial inner membrane [GO:0005743]; respiratory chain complex IV [GO:0045277]; cytochrome-c oxidase activity [GO:0004129]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119]
COX2_ARATH	P93285	COX2_ARATH	Cytochrome c oxidase subunit 2 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide II)	COX2 COXII AtMg00160	Arabidopsis thaliana (Mouse-ear cress)	260	FUNCTION: Component of the cytochrome c oxidase, the last enzyme in the mitochondrial electron transport chain which drives oxidative phosphorylation. The respiratory chain contains 3 multisubunit complexes succinate dehydrogenase (complex II, CII), ubiquinol-cytochrome c oxidoreductase (cytochrome b-c1 complex, complex III, CIII) and cytochrome c oxidase (complex IV, CIV), that cooperate to transfer electrons derived from NADH and succinate to molecular oxygen, creating an electrochemical gradient over the inner membrane that drives transmembrane transport and the ATP synthase. Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Electrons originating from reduced cytochrome c in the intermembrane space (IMS) are transferred via the dinuclear copper A center (CU(A)) of subunit 2 and heme A of subunit 1 to the active site in subunit 1, a binuclear center (BNC) formed by heme A3 and copper B (CU(B)). The BNC reduces molecular oxygen to 2 water molecules using 4 electrons from cytochrome c in the IMS and 4 protons from the mitochondrial matrix. {ECO:0000250|UniProtKB:P00410}.				mitochondrial inner membrane [GO:0005743]; respirasome [GO:0070469]; copper ion binding [GO:0005507]; cytochrome-c oxidase activity [GO:0004129]; ATP synthesis coupled electron transport [GO:0042773]
