"Pasted","Symbol","Ensembl Gene ID","Entrez","Type","Species","Chr","Position (Mbp)","Description","percentage_gc_content","transcript_count","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons"
"AT1G10550"," XTH33","AT1G10550",837596,"protein_coding","Arabidopsis thaliana","1",3.479066,"Probable xyloglucan endotransglucosylase/hydrolase protein 33 [Source:UniProtKB/Swiss-Prot;Acc:Q8LC45]",36.08,1,1975,933,1208,83,190,4
"AT1G12950"," DTX31","AT1G12950",837853,"protein_coding","Arabidopsis thaliana","1",4.419714,"Protein DETOXIFICATION [Source:UniProtKB/TrEMBL;Acc:A0A178WCP4]",38.07,1,2970,1569,1926,134,221,8
"AT1G13245"," RTFL17","AT1G13245",837884,"protein_coding","Arabidopsis thaliana","1",4.525414,"At1g13245 [Source:UniProtKB/TrEMBL;Acc:Q9SAF8]",34.51,1,790,126,791,226,437,1
"AT1G14720"," XTH28","AT1G14720",838037,"protein_coding","Arabidopsis thaliana","1",5.066525,"Xyloglucan endotransglucosylase/hydrolase [Source:UniProtKB/TrEMBL;Acc:A0A178W9E1]",36.97,1,2152,999,1491,210,280,4
"AT1G15110"," ","AT1G15110",838074,"protein_coding","Arabidopsis thaliana","1",5.19894,"Phosphatidyl serine synthase family protein [Source:UniProtKB/TrEMBL;Acc:F4HXY6]",39.9,4,3375,1278,2038,248,325.5,13
"AT1G15380"," ","AT1G15380",838107,"protein_coding","Arabidopsis thaliana","1",5.290582,"GLYI4 [Source:UniProtKB/TrEMBL;Acc:A0A178W6B2]",35.13,2,2000,525,864,72,270.5,3.5
"AT1G19180"," TIFY10A","AT1G19180",838501,"protein_coding","Arabidopsis thaliana","1",6.621777,"TIFY10A [Source:UniProtKB/TrEMBL;Acc:A0A178W7G1]",37.21,3,1891,762,1532.5,323.5,348,2
"AT1G19920"," APS2","AT1G19920",838580,"protein_coding","Arabidopsis thaliana","1",6.914518,"ATP sulfurylase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q43870]",38.68,1,2305,1431,1914,165,316,5
"AT1G22020"," SHM6","AT1G22020",838807,"protein_coding","Arabidopsis thaliana","1",7.754281,"Serine hydroxymethyltransferase 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9LM59]",38.68,2,3748,1800,2595,305.5,423,4.5
"AT1G23080"," PIN7","AT1G23080",838916,"protein_coding","Arabidopsis thaliana","1",8.180189,"Auxin efflux carrier component 7 [Source:UniProtKB/Swiss-Prot;Acc:Q940Y5]",39.69,4,3461,1848,2671,230.5,578,6
"AT1G24100"," UGT74B1","AT1G24100",839022,"protein_coding","Arabidopsis thaliana","1",8.525334,"Glycosyltransferase [Source:UniProtKB/TrEMBL;Acc:A0A178WKT6]",41.33,1,1753,1383,1673,76,212,2
"AT1G25220"," ASB1","AT1G25220",839103,"protein_coding","Arabidopsis thaliana","1",8.836835,"Anthranilate synthase beta subunit 1 [Source:UniProtKB/TrEMBL;Acc:F4IAW5]",36.94,2,2774,850.5,1429,100,476.5,8
"AT1G29640"," ","AT1G29640",839841,"protein_coding","Arabidopsis thaliana","1",10.355638,"At1g29640 [Source:UniProtKB/TrEMBL;Acc:Q9C7N7]",36.57,1,844,423,845,100,320,1
"AT1G32170"," XTH30","AT1G32170",840109,"protein_coding","Arabidopsis thaliana","1",11.57532,"Probable xyloglucan endotransglucosylase/hydrolase protein 30 [Source:UniProtKB/Swiss-Prot;Acc:Q38908]",33.97,1,2710,1032,1400,113,253,4
"AT1G36370"," SHM7","AT1G36370",840543,"protein_coding","Arabidopsis thaliana","1",13.696042,"Serine hydroxymethyltransferase 7 [Source:UniProtKB/Swiss-Prot;Acc:Q84WV0]",38.7,1,2697,1797,2158,162,197,4
"AT1G42540"," GLR3.3","AT1G42540",840859,"protein_coding","Arabidopsis thaliana","1",15.973054,"Glutamate receptor 3.3 [Source:UniProtKB/Swiss-Prot;Acc:Q9C8E7]",40,4,3759,2802,3191.5,246,109,6.5
"AT1G44170"," ALDH3H1","AT1G44170",841020,"protein_coding","Arabidopsis thaliana","1",16.7964,"Aldehyde dehydrogenase family 3 member H1 [Source:UniProtKB/Swiss-Prot;Acc:Q70DU8]",35.85,3,3921,1455,1683,74.5,163,10
"AT1G63930"," ROH1","AT1G63930",842696,"protein_coding","Arabidopsis thaliana","1",23.727794,"At1g63930 [Source:UniProtKB/TrEMBL;Acc:Q9CAK4]",47.2,1,1609,1248,1610,132,228,1
"AT1G64230"," UBC28","AT1G64230",842728,"protein_coding","Arabidopsis thaliana","1",23.833485,"Ubiquitin-conjugating enzyme 28 [Source:UniProtKB/TrEMBL;Acc:F4I5B8]",34.94,5,2054,474,974,72,315,6
"AT1G64640"," ENODL8","AT1G64640",842772,"protein_coding","Arabidopsis thaliana","1",24.022285,"ENODL8 [Source:UniProtKB/TrEMBL;Acc:A0A178WAZ0]",41.93,1,1139,576,1046,272,196,2
"AT1G64660"," MGL","AT1G64660",842774,"protein_coding","Arabidopsis thaliana","1",24.02883,"Methionine gamma-lyase [Source:UniProtKB/Swiss-Prot;Acc:Q9SGU9]",47.82,1,1950,1326,1716,146,242,3
"AT1G64900"," CYP89A2","AT1G64900",842798,"protein_coding","Arabidopsis thaliana","1",24.113109,"Cytochrome P450 89A2 [Source:UniProtKB/Swiss-Prot;Acc:Q42602]",47.12,1,1875,1521,1876,173,180,1
"AT1G66150"," TMK1","AT1G66150",842930,"protein_coding","Arabidopsis thaliana","1",24.631338,"Receptor protein kinase TMK1 [Source:UniProtKB/Swiss-Prot;Acc:P43298]",41.41,1,3443,2829,3360,164,365,2
"AT1G67290"," GLOX1","AT1G67290",843049,"protein_coding","Arabidopsis thaliana","1",25.190921,"Aldehyde oxidase GLOX1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FYG4]",40.04,1,2319,1848,2175,79,246,2
"AT1G68090"," ANN5","AT1G68090",843137,"protein_coding","Arabidopsis thaliana","1",25.519305,"Annexin D5 [Source:UniProtKB/Swiss-Prot;Acc:Q9C9X3]",38.59,2,1590,853.5,1245,120,269.5,5.5
"AT1G69500"," CYP704B1","AT1G69500",843283,"protein_coding","Arabidopsis thaliana","1",26.12394,"Cytochrome P450 704B1 [Source:UniProtKB/Swiss-Prot;Acc:Q9C788]",36.17,1,2117,1575,1743,19,147,6
"AT1G70810"," CAR7","AT1G70810",843418,"protein_coding","Arabidopsis thaliana","1",26.703966,"Protein C2-DOMAIN ABA-RELATED 7 [Source:UniProtKB/Swiss-Prot;Acc:Q9SSL1]",35.41,1,1394,498,1008,240,268,3
"AT1G70940"," PIN3","AT1G70940",843432,"protein_coding","Arabidopsis thaliana","1",26.74294,"Auxin efflux carrier component 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9S7Z8]",41.56,1,3529,1923,2751,229,597,6
"AT1G72160"," PATL3","AT1G72160",843547,"protein_coding","Arabidopsis thaliana","1",27.153555,"Patellin-3 [Source:UniProtKB/Swiss-Prot;Acc:Q56Z59]",38.37,1,2238,1473,1925,183,267,4
"AT1G75390"," BZIP44","AT1G75390",843875,"protein_coding","Arabidopsis thaliana","1",28.291698,"bZIP transcription factor 44 [Source:UniProtKB/Swiss-Prot;Acc:C0Z2L5]",37.22,2,1310,372,1241,525,302,1.5
"AT1G76180"," ERD14","AT1G76180",843950,"protein_coding","Arabidopsis thaliana","1",28.586663,"Dehydrin ERD14 [Source:UniProtKB/Swiss-Prot;Acc:P42763]",37.67,2,1268,558,1003,271,119,2.5
"AT1G78140"," ","AT1G78140",844150,"protein_coding","Arabidopsis thaliana","1",29.401759,"Uncharacterized methyltransferase At1g78140, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8LBV4]",38.2,1,2266,1068,1393,146,177,8
"AT1G79600"," ABC1K3","AT1G79600",844298,"protein_coding","Arabidopsis thaliana","1",29.94991,"ABC1K3 [Source:UniProtKB/TrEMBL;Acc:A0A178WNJ7]",44.05,1,2816,2136,2541,209,194,4
"AT2G01420"," PIN4","AT2G01420",814670,"protein_coding","Arabidopsis thaliana","2",0.180033,"Auxin efflux carrier component [Source:UniProtKB/TrEMBL;Acc:A0A178VZS2]",41,3,3731,1839,2861,564,444,6
"AT2G01670"," NUDT17","AT2G01670",814696,"protein_coding","Arabidopsis thaliana","2",0.296365,"Nudix hydrolase 17, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9ZU95]",33.23,1,1850,549,1470,396,523,5
"AT2G03590"," UPS1","AT2G03590",814888,"protein_coding","Arabidopsis thaliana","2",1.094702,"UPS1 [Source:UniProtKB/TrEMBL;Acc:A0A178VW66]",37.63,2,2274,1173,1650,165,264,6.5
"AT2G07050"," CAS1","AT2G07050",815275,"protein_coding","Arabidopsis thaliana","2",2.92436,"Cycloartenol synthase [Source:UniProtKB/Swiss-Prot;Acc:P38605]",37.83,2,6391,2007,3203,272,455,18
"AT2G14960"," GH3.1","AT2G14960",815985,"protein_coding","Arabidopsis thaliana","2",6.451319,"Probable indole-3-acetic acid-amido synthetase GH3.1 [Source:UniProtKB/Swiss-Prot;Acc:O82333]",45.46,1,2478,1773,2240,126,339,3
"AT2G15620"," NIR1","AT2G15620",816055,"protein_coding","Arabidopsis thaliana","2",6.810395,"Ferredoxin--nitrite reductase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q39161]",42.72,1,2546,1761,2193,156,274,4
"AT2G16120"," PLT1","AT2G16120",816109,"protein_coding","Arabidopsis thaliana","2",6.996727,"Putative polyol transporter 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9XIH7]",46.94,1,1714,1536,1536,NA,NA,3
"AT2G22500"," PUMP5","AT2G22500",816783,"protein_coding","Arabidopsis thaliana","2",9.562774,"Mitochondrial uncoupling protein 5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJY5]",40.06,1,2076,942,2077,377,756,1
"AT2G23090"," ","AT2G23090",816839,"protein_coding","Arabidopsis thaliana","2",9.82945,"Uncharacterized protein At2g23090 [Source:UniProtKB/Swiss-Prot;Acc:O64818]",34.82,1,984,237,604,159,206,3
"AT2G25110"," SDF2","AT2G25110",817049,"protein_coding","Arabidopsis thaliana","2",10.684118,"Stromal cell-derived factor 2-like protein [Source:UniProtKB/Swiss-Prot;Acc:Q93ZE8]",39.46,1,2229,657,1476,309,508,6
"AT2G25930"," ELF3","AT2G25930",817134,"protein_coding","Arabidopsis thaliana","2",11.058944,"Protein EARLY FLOWERING 3 [Source:UniProtKB/Swiss-Prot;Acc:O82804]",39.72,1,4380,2088,2749,514,145,4
"AT2G28200"," ZAT5","AT2G28200",817366,"protein_coding","Arabidopsis thaliana","2",12.02394,"Zinc finger protein ZAT5 [Source:UniProtKB/Swiss-Prot;Acc:Q681X4]",40.74,1,1430,861,1431,380,188,1
"AT2G29150"," ","AT2G29150",817464,"protein_coding","Arabidopsis thaliana","2",12.535715,"Tropinone reductase homolog At2g29150 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZW03]",39.76,1,1249,807,807,NA,NA,5
"AT2G34770"," FAH1","AT2G34770",818042,"protein_coding","Arabidopsis thaliana","2",14.665667,"FAH1 [Source:UniProtKB/TrEMBL;Acc:A0A178W0P1]",37.23,1,2583,714,1142,118.5,188,7
"AT2G35940"," BLH1","AT2G35940",818167,"protein_coding","Arabidopsis thaliana","2",15.088762,"BEL1-like homeodomain protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJ56]",40.86,3,3653,2043,2777,111,408,5
"AT2G36320"," SAP4","AT2G36320",818205,"protein_coding","Arabidopsis thaliana","2",15.228714,"Zinc finger A20 and AN1 domain-containing stress-associated protein 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9SJM6]",36.51,1,1949,486,1774,248,789,2
"AT2G36830"," TIP1-1","AT2G36830",818255,"protein_coding","Arabidopsis thaliana","2",15.445294,"Aquaporin TIP1-1 [Source:UniProtKB/Swiss-Prot;Acc:P25818]",45.03,1,1327,756,1237,195,284,2
"AT2G43020"," PAO2","AT2G43020",818904,"protein_coding","Arabidopsis thaliana","2",17.891503,"Probable polyamine oxidase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SKX5]",40.79,1,3132,1473,2110,441,194,9
"AT3G01120"," CGS1","AT3G01120",821292,"protein_coding","Arabidopsis thaliana","3",0.038759,"MTO1 [Source:UniProtKB/TrEMBL;Acc:A0A178VB36]",41.58,1,3400,1692,2461,293,474,11
"AT3G01220"," ATHB-20","AT3G01220",821232,"protein_coding","Arabidopsis thaliana","3",0.073307,"Homeobox-leucine zipper protein ATHB-20 [Source:UniProtKB/Swiss-Prot;Acc:Q8LAT0]",32.2,1,2232,861,1397,291,243,3
"AT3G03470"," CYP89A9","AT3G03470",821250,"protein_coding","Arabidopsis thaliana","3",0.824552,"Cytochrome P450 89A9 [Source:UniProtKB/Swiss-Prot;Acc:Q9SRQ1]",42.77,1,2033,1536,1916,239,139,2
"AT3G05610"," PME21","AT3G05610",819727,"protein_coding","Arabidopsis thaliana","3",1.625528,"Probable pectinesterase/pectinesterase inhibitor 21 [Source:UniProtKB/Swiss-Prot;Acc:Q8GX86]",44.22,1,2647,2010,2557,198,347,2
"AT3G05970"," LACS6","AT3G05970",819767,"protein_coding","Arabidopsis thaliana","3",1.786279,"Long chain acyl-CoA synthetase 6, peroxisomal [Source:UniProtKB/Swiss-Prot;Acc:Q8LPS1]",37.42,1,5608,2106,2478,140,230,23
"AT3G06130"," HIPP32","AT3G06130",819786,"protein_coding","Arabidopsis thaliana","3",1.852808,"Heavy metal-associated isoprenylated plant protein 32 [Source:UniProtKB/Swiss-Prot;Acc:Q9M8K5]",42.59,2,2389,1236,1861.5,141,273.5,4.5
"AT3G08860"," PYD4","AT3G08860",820034,"protein_coding","Arabidopsis thaliana","3",2.696199,"Alanine--glyoxylate aminotransferase 2 homolog 3, mitochondrial [Source:UniProtKB/Swiss-Prot;Acc:Q9SR86]",39.73,2,3221,1426.5,1986.5,250.5,307.5,8.5
"AT3G10330"," TFIIB2","AT3G10330",820195,"protein_coding","Arabidopsis thaliana","3",3.199712,"Transcription initiation factor IIB-2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SS44]",39.11,1,2254,939,1458,194,323,7
"AT3G15040"," ","AT3G15040",820733,"protein_coding","Arabidopsis thaliana","3",5.064704,"At3g15040 [Source:UniProtKB/TrEMBL;Acc:Q9LKA1]",38.98,1,2041,732,1722,123.5,740,2
"AT3G16150"," ","AT3G16150",820860,"protein_coding","Arabidopsis thaliana","3",5.471735,"ASPGB1 [Source:UniProtKB/TrEMBL;Acc:A0A384KV24]",43.36,1,1625,978,1364,58,326,4
"AT3G18040"," MPK9","AT3G18040",821329,"protein_coding","Arabidopsis thaliana","3",6.174239,"Mitogen-activated protein kinase [Source:UniProtKB/TrEMBL;Acc:A0A1I9LRW0]",38.55,5,4295,1533,2451,233,375,11
"AT3G18830"," PLT5","AT3G18830",821416,"protein_coding","Arabidopsis thaliana","3",6.488843,"PMT5 [Source:UniProtKB/TrEMBL;Acc:A0A178V5Y2]",42.6,1,2586,1620,1997,219,156,4
"AT3G20770"," EIN3","AT3G20770",821625,"protein_coding","Arabidopsis thaliana","3",7.260429,"Protein ETHYLENE INSENSITIVE 3 [Source:UniProtKB/Swiss-Prot;Acc:O24606]",39.61,1,2955,1887,2448,143,272,2
"AT3G21180"," ACA9","AT3G21180",821671,"protein_coding","Arabidopsis thaliana","3",7.425476,"Calcium-transporting ATPase [Source:UniProtKB/TrEMBL;Acc:A0A178VER8]",37.63,1,6889,3261,3979,293,423,32
"AT3G23920"," BAM1","AT3G23920",821975,"protein_coding","Arabidopsis thaliana","3",8.641181,"Beta-amylase [Source:UniProtKB/TrEMBL;Acc:A0A178VNG4]",41.11,1,3268,1728,2519,540,249,4
"AT3G25690"," CHUP1","AT3G25690",822157,"protein_coding","Arabidopsis thaliana","3",9.352444,"Hydroxyproline-rich glycoprotein family protein [Source:UniProtKB/TrEMBL;Acc:A0A1I9LT48]",37.82,6,5509,3015,3522.5,144,195,10
"AT3G26300"," CYP71B34","AT3G26300",822234,"protein_coding","Arabidopsis thaliana","3",9.638954,"Cytochrome P450 71B34 [Source:UniProtKB/Swiss-Prot;Acc:Q9LIP6]",39.13,1,1964,1503,1800,51,244,3
"AT3G28917"," MIF2","AT3G28917",2745896,"protein_coding","Arabidopsis thaliana","3",10.924708,"Mini zinc finger protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9LJW5]",36.62,1,1105,303,1106,305,496,1
"AT3G30390"," AVT6A","AT3G30390",822740,"protein_coding","Arabidopsis thaliana","3",11.976837,"Amino acid transporter AVT6A [Source:UniProtKB/Swiss-Prot;Acc:Q9LI61]",37.3,3,2809,1383,2048,110,274,6
"AT3G49430"," SR34A","AT3G49430",824105,"protein_coding","Arabidopsis thaliana","3",18.331509,"Serine/arginine-rich splicing factor SR34A [Source:UniProtKB/Swiss-Prot;Acc:A2RVS6]",38.65,7,3645,903,1630,173,316.5,13
"AT3G50770"," CML41","AT3G50770",824241,"protein_coding","Arabidopsis thaliana","3",18.873911,"Probable calcium-binding protein CML41 [Source:UniProtKB/Swiss-Prot;Acc:Q8L3R2]",38.12,1,925,618,926,75,231,1
"AT3G51550"," FER","AT3G51550",824318,"protein_coding","Arabidopsis thaliana","3",19.117584,"Receptor-like protein kinase FERONIA [Source:UniProtKB/Swiss-Prot;Acc:Q9SCZ4]",43.2,1,3365,2688,3191,104,292,2
"AT3G51860"," CAX3","AT3G51860",824349,"protein_coding","Arabidopsis thaliana","3",19.239305,"Vacuolar cation/proton exchanger [Source:UniProtKB/TrEMBL;Acc:A0A1I9LSS9]",36.82,2,3608,1393.5,1914.5,98.5,420.5,9.5
"AT3G51895"," SULTR3;1","AT3G51895",824353,"protein_coding","Arabidopsis thaliana","3",19.251287,"Sulfate transporter 31 [Source:UniProtKB/TrEMBL;Acc:A0A1I9LNF9]",37.51,2,4635,2044.5,2374,112.5,215,12
"AT3G54500"," ","AT3G54500",824615,"protein_coding","Arabidopsis thaliana","3",20.17537,"BEST Arabidopsis thaliana protein match is: dentin sialophosphoprotein-related (TAIR:AT5G64170.1); Ha. [Source:TAIR;Acc:AT3G54500]",39.5,8,3700,1947,2330,153.5,136,7.5
"AT3G57770"," ","AT3G57770",824946,"protein_coding","Arabidopsis thaliana","3",21.397542,"Protein kinase superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4J3H7]",40.3,1,1381,810,1312,NA,501,2
"AT3G58680"," MBF1B","AT3G58680",825037,"protein_coding","Arabidopsis thaliana","3",21.707247,"Multiprotein-bridging factor 1b [Source:UniProtKB/Swiss-Prot;Acc:Q9LXT3]",38.18,1,1725,429,896,119,346,4
"AT3G59050"," PAO3","AT3G59050",825074,"protein_coding","Arabidopsis thaliana","3",21.824696,"Polyamine oxidase 3 [Source:UniProtKB/Swiss-Prot;Acc:Q9LYT1]",40.37,1,2813,1467,2039,335,235,9
"AT3G61600"," POB1","AT3G61600",825333,"protein_coding","Arabidopsis thaliana","3",22.795422,"BTB/POZ domain-containing protein POB1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FPW6]",41.65,2,2902,1686,2281,281,312,6.5
"AT4G02380"," SAG21","AT4G02380",828053,"protein_coding","Arabidopsis thaliana","4",1.046042,"senescence-associated gene 21 [Source:TAIR;Acc:AT4G02380]",39.38,3,1063,294,933,246,340,2
"AT4G02430"," SR34b","AT4G02430",828027,"protein_coding","Arabidopsis thaliana","4",1.068974,"RNA-binding (RRM/RBD/RNP motifs) family protein [Source:TAIR;Acc:AT4G02430]",38.63,4,3289,819,1674,36,220,12.5
"AT4G05050"," UBQ11","AT4G05050",828148,"protein_coding","Arabidopsis thaliana","4",2.588004,"Polyubiquitin [Source:UniProtKB/TrEMBL;Acc:Q8H0Y0]",42.75,4,1433,690,996,156.5,266,2
"AT4G08350"," GTA02","AT4G08350",826391,"protein_coding","Arabidopsis thaliana","4",5.286158,"Putative transcription elongation factor SPT5 homolog 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9STN3]",39.36,1,6112,3126,3517,192,197,22
"AT4G12430"," TPPF","AT4G12430",826855,"protein_coding","Arabidopsis thaliana","4",7.365257,"Probable trehalose-phosphate phosphatase F [Source:UniProtKB/Swiss-Prot;Acc:Q9SU39]",31.89,1,3473,1107,1766,178,222,12
"AT4G13250"," NYC1","AT4G13250",826942,"protein_coding","Arabidopsis thaliana","4",7.684156,"Probable chlorophyll(ide) b reductase NYC1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q93ZA0]",37.78,2,2850,1488,1958.5,247.5,221,10
"AT4G14130"," XTH15","AT4G14130",827051,"protein_coding","Arabidopsis thaliana","4",8.13702,"Xyloglucan endotransglucosylase/hydrolase protein 15 [Source:UniProtKB/Swiss-Prot;Acc:Q38911]",42.68,1,1372,870,1207,195,140,3
"AT4G14540"," NFYB3","AT4G14540",827101,"protein_coding","Arabidopsis thaliana","4",8.344349,"Nuclear transcription factor Y subunit B-3 [Source:UniProtKB/Swiss-Prot;Acc:O23310]",38.63,1,975,486,976,313,175,1
"AT4G15250"," COL11","AT4G15250",827191,"protein_coding","Arabidopsis thaliana","4",8.709767,"Putative zinc finger protein CONSTANS-LIKE 11 [Source:UniProtKB/Swiss-Prot;Acc:O23379]",37.56,1,1759,993,1280,55,174,4
"AT4G15920"," SWEET17","AT4G15920",NA,"protein_coding","Arabidopsis thaliana","4",9.030486,"Nodulin MtN3 family protein [Source:TAIR;Acc:AT4G15920]",32.31,1,3162,726,1287,304,255,6
"AT4G18710"," ASK7","AT4G18710",827605,"protein_coding","Arabidopsis thaliana","4",10.296138,"Shaggy-related protein kinase eta [Source:UniProtKB/Swiss-Prot;Acc:Q39011]",37.14,2,5090,825,1494,335,277,9
"AT4G18990"," XTH29","AT4G18990",827635,"protein_coding","Arabidopsis thaliana","4",10.401777,"Probable xyloglucan endotransglucosylase/hydrolase protein 29 [Source:UniProtKB/Swiss-Prot;Acc:Q8L7H3]",32.48,2,2616,963,1332.5,204.5,163,3.5
"AT4G19010"," 4CLL6","AT4G19010",827639,"protein_coding","Arabidopsis thaliana","4",10.411466,"4-coumarate--CoA ligase-like 6 [Source:UniProtKB/Swiss-Prot;Acc:Q84P24]",37.71,1,2858,1701,2053,102,248,6
"AT4G19170"," CCD4","AT4G19170",827655,"protein_coding","Arabidopsis thaliana","4",10.481619,"Probable carotenoid cleavage dioxygenase 4, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:O49675]",44.45,1,2260,1788,2261,215,256,1
"AT4G22260"," AOX4","AT4G22260",828321,"protein_coding","Arabidopsis thaliana","4",11.769668,"Ubiquinol oxidase 4, chloroplastic/chromoplastic [Source:UniProtKB/Swiss-Prot;Acc:Q56X52]",37.07,1,2931,1056,1604,248,298,9
"AT4G22590"," TPPG","AT4G22590",828355,"protein_coding","Arabidopsis thaliana","4",11.893499,"Trehalose 6-phosphate phosphatase [Source:UniProtKB/TrEMBL;Acc:A0A178UWC3]",36.05,1,2981,1134,1763,158,207,9
"AT4G22890"," PGRL1A","AT4G22890",828388,"protein_coding","Arabidopsis thaliana","4",12.006986,"PGR5-LIKE A [Source:UniProtKB/TrEMBL;Acc:A0A178UU76]",35.36,5,2550,969,1413,170,193,10
"AT4G25810"," XTH23","AT4G25810",828686,"protein_coding","Arabidopsis thaliana","4",13.128394,"Probable xyloglucan endotransglucosylase/hydrolase protein 23 [Source:UniProtKB/Swiss-Prot;Acc:Q38910]",41.07,1,1533,861,1373,299,211,3
"AT4G26160"," ACHT1","AT4G26160",828722,"protein_coding","Arabidopsis thaliana","4",13.255251,"Thioredoxin-like 2-1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q8LEK4]",39.66,1,1628,666,958,44,246,4
"AT4G27130"," ","AT4G27130",828821,"protein_coding","Arabidopsis thaliana","4",13.604466,"Protein translation factor SUI1 homolog 1 [Source:UniProtKB/Swiss-Prot;Acc:P41568]",38.59,1,2002,342,960,134,347,5
"AT4G29900"," ACA10","AT4G29900",829112,"protein_coding","Arabidopsis thaliana","4",14.610883,"Calcium-transporting ATPase 10, plasma membrane-type [Source:UniProtKB/Swiss-Prot;Acc:Q9SZR1]",37.85,2,8802,3210,3874,160,341,35
"AT4G30200"," VIL2","AT4G30200",829143,"protein_coding","Arabidopsis thaliana","4",14.786532,"VIN3-like protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SUM4]",38.01,4,3969,2083.5,2656,148,319,5
"AT4G30960"," CIPK6","AT4G30960",829221,"protein_coding","Arabidopsis thaliana","4",15.067028,"CBL-interacting serine/threonine-protein kinase 6 [Source:UniProtKB/Swiss-Prot;Acc:O65554]",41.7,1,2155,1326,2156,371,457,1
"AT4G34260"," FUC95A","AT4G34260",829575,"protein_coding","Arabidopsis thaliana","4",16.397995,"Alpha-L-fucosidase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q8L7W8]",41.56,1,4123,2532,3194,134,526,9
"AT4G34350"," ISPH","AT4G34350",829585,"protein_coding","Arabidopsis thaliana","4",16.428407,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q94B35]",40.18,1,2737,1401,1781,105,273,10
