From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Function [CC]	Pathway	Developmental stage	Tissue specificity	Gene Ontology (GO)	Gene Ontology IDs
MYB30_ANTMA	P81395	MYB30_ANTMA	Myb-related protein 330	MYB330	Antirrhinum majus (Garden snapdragon)	274	FUNCTION: Transcription factor. {ECO:0000305}.		DEVELOPMENTAL STAGE: Expression in flowers increases as the flowers develop. {ECO:0000269|PubMed:1840903}.	TISSUE SPECIFICITY: Expressed in flowers and weakly in roots and stems. {ECO:0000269|PubMed:1840903}.	nucleus [GO:0005634]; DNA binding [GO:0003677]	GO:0003677; GO:0005634
CAAT7_ARATH	Q9SQZ0	CAAT7_ARATH	Cationic amino acid transporter 7, chloroplastic	CAT7 At3g10600 F13M14.11 F18K10.21	Arabidopsis thaliana (Mouse-ear cress)	584	FUNCTION: Permease involved in the transport of the cationic amino acids. {ECO:0000250}.				chloroplast membrane [GO:0031969]; plasma membrane [GO:0005886]; amino acid transmembrane transporter activity [GO:0015171]; amino acid transport [GO:0006865]	GO:0005886; GO:0006865; GO:0015171; GO:0031969
ACCT2_ARATH	Q8S4Y1	ACCT2_ARATH	Acetyl-CoA acetyltransferase 2 (EC 2.3.1.9) (Acetoacetyl-CoA thiolase 2) (Thiolase 2) (Protein EMBRYO DEFECTIVE 1276)	ACCT2 AAT1 EMB1276 At5g48230 MIF21.12	Arabidopsis thaliana (Mouse-ear cress)	403	FUNCTION: Catalyzes the condensation of two molecules of acetyl-CoA to produce acetoacetyl-CoA (PubMed:22332816). Generates the bulk of the acetoacetyl-CoA precursor required for the cytosol-localized, mevalonate-derived isoprenoid biosynthesis (PubMed:22332816). The generated isoprenoids are required for normal growth and development (PubMed:22332816). Essential protein during embryogenesis (PubMed:15266054). {ECO:0000269|PubMed:15266054, ECO:0000269|PubMed:22332816}.	PATHWAY: Metabolic intermediate biosynthesis; (R)-mevalonate biosynthesis; (R)-mevalonate from acetyl-CoA: step 1/3. {ECO:0000305}.		TISSUE SPECIFICITY: Expressed in root tips, emerging leaves, young leaves, stems, and anthers at the microspore stage. {ECO:0000269|PubMed:22332816}.	peroxisome [GO:0005777]; plasma membrane [GO:0005886]; plastid [GO:0009536]; acetyl-CoA C-acetyltransferase activity [GO:0003985]; metal ion binding [GO:0046872]; fatty acid beta-oxidation [GO:0006635]; isoprenoid biosynthetic process [GO:0008299]; pollen germination [GO:0009846]; pollen tube growth [GO:0009860]; sterol metabolic process [GO:0016125]	GO:0003985; GO:0005777; GO:0005886; GO:0006635; GO:0008299; GO:0009536; GO:0009846; GO:0009860; GO:0016125; GO:0046872
UBC28_ARATH	Q94F47	UBC28_ARATH	Ubiquitin-conjugating enzyme E2 28 (EC 2.3.2.23) (AtUBC9A) (E2 ubiquitin-conjugating enzyme 28) (Ubiquitin carrier protein 28)	UBC28 At1g64230 F22C12.2	Arabidopsis thaliana (Mouse-ear cress)	148	FUNCTION: Accepts the ubiquitin from the E1 complex and catalyzes its covalent attachment to other proteins.	PATHWAY: Protein modification; protein ubiquitination. {ECO:0000255|PROSITE-ProRule:PRU00388}.		TISSUE SPECIFICITY: Expressed in seeds, pistils, siliques, hypocotyls and leaves. {ECO:0000269|PubMed:16339806}.	nucleus [GO:0005634]; ATP binding [GO:0005524]; ubiquitin conjugating enzyme activity [GO:0061631]; protein polyubiquitination [GO:0000209]	GO:0000209; GO:0005524; GO:0005634; GO:0061631
AGT23_ARATH	Q9SR86	AGT23_ARATH	Alanine--glyoxylate aminotransferase 2 homolog 3, mitochondrial (EC 2.6.1.44) (Beta-alanine-pyruvate aminotransferase 3)	At3g08860 T16O11.21	Arabidopsis thaliana (Mouse-ear cress)	481					mitochondrion [GO:0005739]; alanine-glyoxylate transaminase activity [GO:0008453]; pyridoxal phosphate binding [GO:0030170]; cellular response to nitrogen levels [GO:0043562]; photorespiration [GO:0009853]	GO:0005739; GO:0008453; GO:0009853; GO:0030170; GO:0043562
CRTS2_ONCHC	Q52QW2	CRTS2_ONCHC	Prolycopene isomerase 2, chloroplastic (CrtISO2) (EC 5.2.1.13) (Carotenoid isomerase 2) (OcrtISO24)	CRTISO2	Oncidium hybrid cultivar (Orchid)	587	FUNCTION: Carotene cis-trans-isomerase that converts 7,9,9'-tri-cis-neurosporene to 9'-cis-neurosporene and 7,9,9',7'-tetra-cis-lycopene (also known as prolycopene) into all-trans-lycopene. Isomerization requires redox-active components, suggesting that isomerization is achieved by a reversible redox reaction acting at specific double bonds. Isomerizes adjacent cis-double bonds at C7 and C9 pairwise into the trans-configuration, but is incapable of isomerizing single cis-double bonds at C9 and C9' (By similarity). {ECO:0000250}.	PATHWAY: Carotenoid biosynthesis; lycopene biosynthesis.		TISSUE SPECIFICITY: Up-regulated in the flower buds and flower lip tissue, while it is weakly expressed in leaves. {ECO:0000269|PubMed:16151849}.	chloroplast membrane [GO:0031969]; carotenoid isomerase activity [GO:0046608]; oxidoreductase activity [GO:0016491]; carotenoid biosynthetic process [GO:0016117]	GO:0016117; GO:0016491; GO:0031969; GO:0046608
APR1_ARATH	P92979	APR1_ARATH	5'-adenylylsulfate reductase 1, chloroplastic (EC 1.8.4.9) (3'-phosphoadenosine-5'-phosphosulfate reductase homolog 19) (PAPS reductase homolog 19) (Prh-19) (Adenosine 5'-phosphosulfate 5'-adenylylsulfate sulfotransferase 1) (APS sulfotransferase 1) (Thioredoxin-independent APS reductase 1)	APR1 PRH19 At4g04610 F4H6.13	Arabidopsis thaliana (Mouse-ear cress)	465	FUNCTION: Reduces sulfate for Cys biosynthesis. Substrate preference is adenosine-5'-phosphosulfate (APS) >> 3'-phosphoadenosine-5'-phosphosulfate (PAPS). Uses glutathione or DTT as source of protons.			TISSUE SPECIFICITY: Leaves, roots and stem.	chloroplast [GO:0009507]; chloroplast stroma [GO:0009570]; plastid [GO:0009536]; 4 iron, 4 sulfur cluster binding [GO:0051539]; adenylyl-sulfate reductase (glutathione) activity [GO:0033741]; adenylyl-sulfate reductase activity [GO:0009973]; metal ion binding [GO:0046872]; phosphoadenylyl-sulfate reductase (thioredoxin) activity [GO:0004604]; cysteine biosynthetic process [GO:0019344]; sulfate assimilation [GO:0000103]; sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) [GO:0019379]; sulfate reduction [GO:0019419]	GO:0000103; GO:0004604; GO:0009507; GO:0009536; GO:0009570; GO:0009973; GO:0019344; GO:0019379; GO:0019419; GO:0033741; GO:0046872; GO:0051539
APR3_ARATH	P92980	APR3_ARATH	5'-adenylylsulfate reductase 3, chloroplastic (EC 1.8.4.9) (3'-phosphoadenosine-5'-phosphosulfate reductase homolog 26) (PAPS reductase homolog 26) (Prh-26) (Adenosine 5'-phosphosulfate 5'-adenylylsulfate sulfotransferase 3) (APS sulfotransferase 3) (Thioredoxin-independent APS reductase 3)	APR3 PRH26 At4g21990 F1N20.90	Arabidopsis thaliana (Mouse-ear cress)	458	FUNCTION: Reduces sulfate for Cys biosynthesis. Substrate preference is adenosine-5'-phosphosulfate (APS) >> 3'-phosphoadenosine-5'-phosphosulfate (PAPS). Uses glutathione or DTT as source of protons.			TISSUE SPECIFICITY: Leaves, roots and stem.	chloroplast [GO:0009507]; 4 iron, 4 sulfur cluster binding [GO:0051539]; adenylyl-sulfate reductase (glutathione) activity [GO:0033741]; adenylyl-sulfate reductase activity [GO:0009973]; metal ion binding [GO:0046872]; phosphoadenylyl-sulfate reductase (thioredoxin) activity [GO:0004604]; cysteine biosynthetic process [GO:0019344]; sulfate assimilation [GO:0000103]; sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin) [GO:0019379]	GO:0000103; GO:0004604; GO:0009507; GO:0009973; GO:0019344; GO:0019379; GO:0033741; GO:0046872; GO:0051539
TIF5A_ARATH	Q8LBM2	TIF5A_ARATH	Protein TIFY 5A (Jasmonate ZIM domain-containing protein 8)	TIFY5A JAZ8 At1g30135 T2H7	Arabidopsis thaliana (Mouse-ear cress)	131	FUNCTION: Repressor of jasmonate responses. Unable to associate strongly with COI1 in the presence of jasmonoyl-isoleucine (JA-Ile) and is therefore more resistant to JA-mediated-degradation than other TIFY/JAZ proteins. Repress gene expression through direct recruitment of the corepressor TOPLESS to cognate transcription factors (PubMed:19151223, PubMed:22327740). Interacts with and suppresses RHD6 and RSL1 transcription factor activities to negatively regulate jasmonate-stimulated root hair development (PubMed:31988260). {ECO:0000269|PubMed:19151223, ECO:0000269|PubMed:22327740, ECO:0000269|PubMed:31988260}.				nucleus [GO:0005634]; defense response [GO:0006952]; regulation of defense response [GO:0031347]; regulation of jasmonic acid mediated signaling pathway [GO:2000022]; response to wounding [GO:0009611]	GO:0005634; GO:0006952; GO:0009611; GO:0031347; GO:2000022
GLYI4_ARATH	Q9XI31	GLYI4_ARATH	Glyoxylase I 4 (AtGLXI-like;4) (AtGLYI4)	GLYI4 At1g15380 F9L1.33	Arabidopsis thaliana (Mouse-ear cress)	174	FUNCTION: Involved in the detoxification and scavenging of methylglyoxal (MG), a cytotoxic aldehyde produced in response to primary metabolism alteration observed during biotic and abiotic stresses (PubMed:31652571). Modulates cross-talk between salicylic acid (SA) and jasmonic acid (JA) signaling pathways during defense responses to pathogens such as Botrytis cinerea (PubMed:29852537). {ECO:0000269|PubMed:29852537, ECO:0000269|PubMed:31652571}.			TISSUE SPECIFICITY: Mostly expressed in roots, and, to a lower extent, in leaves, flowers, seeds and siliques. {ECO:0000269|PubMed:21213008, ECO:0000269|PubMed:30483284}.	cytoplasm [GO:0005737]; plasma membrane [GO:0005886]; lyase activity [GO:0016829]; cellular detoxification of methylglyoxal [GO:0140041]; defense response [GO:0006952]; regulation of abscisic acid-activated signaling pathway [GO:0009787]; regulation of jasmonic acid mediated signaling pathway [GO:2000022]; regulation of salicylic acid mediated signaling pathway [GO:2000031]; response to cold [GO:0009409]; response to heat [GO:0009408]; response to jasmonic acid [GO:0009753]; response to methylglyoxal [GO:0051595]; response to nickel cation [GO:0010045]; response to osmotic stress [GO:0006970]; response to oxidative stress [GO:0006979]; response to salt [GO:1902074]; response to UV-B [GO:0010224]; response to water deprivation [GO:0009414]; response to wounding [GO:0009611]	GO:0005737; GO:0005886; GO:0006952; GO:0006970; GO:0006979; GO:0009408; GO:0009409; GO:0009414; GO:0009611; GO:0009753; GO:0009787; GO:0010045; GO:0010224; GO:0016829; GO:0051595; GO:0140041; GO:1902074; GO:2000022; GO:2000031
ELF3_ARATH	O82804	ELF3_ARATH	Protein EARLY FLOWERING 3 (Nematode-responsive protein)	ELF3 PYK20 At2g25930 F17H15.25 T19L18.26	Arabidopsis thaliana (Mouse-ear cress)	695	FUNCTION: May be a transcription factor part of a circadian clock input pathway. Acts within a 'zeitnehmer' feedback loop and is involved in its own circadian regulation. Has no role in regulating circadian clock function in the dark. Part of a corepressor complex consisting of ELF4, ELF3, and LUX involved in the transcriptional regulation of APRR9. The activity of the protein may be decreased in long day conditions due to its interaction with phytochrome B (phyB). Can regulate the initiation of flowering independently of phyB. Also involved in responses to nematode parasitism, like the formation of the nematode feeding structure. {ECO:0000269|PubMed:11402161, ECO:0000269|PubMed:22307044, ECO:0000269|PubMed:22327739}.				nucleus [GO:0005634]; transcription regulator complex [GO:0005667]; DNA-binding transcription factor activity [GO:0003700]; circadian rhythm [GO:0007623]; circumnutation [GO:0010031]; entrainment of circadian clock [GO:0009649]; negative regulation of transcription by RNA polymerase II [GO:0000122]; photoperiodism, flowering [GO:0048573]; red, far-red light phototransduction [GO:0009585]; regulation of circadian rhythm [GO:0042752]; regulation of flower development [GO:0009909]; regulation of photoperiodism, flowering [GO:2000028]; regulation of stomatal movement [GO:0010119]; response to abscisic acid [GO:0009737]; response to auxin [GO:0009733]; response to cold [GO:0009409]; unidimensional cell growth [GO:0009826]	GO:0000122; GO:0003700; GO:0005634; GO:0005667; GO:0007623; GO:0009409; GO:0009585; GO:0009649; GO:0009733; GO:0009737; GO:0009826; GO:0009909; GO:0010031; GO:0010119; GO:0042752; GO:0048573; GO:2000028
AX22B_VIGRR	P32294	AX22B_VIGRR	Auxin-induced protein 22B (Indole-3-acetic acid-induced protein ARG4)	AUX22B ARG4	Vigna radiata var. radiata (Mung bean) (Phaseolus aureus)	196	FUNCTION: Aux/IAA proteins are short-lived transcriptional factors that function as repressors of early auxin response genes at low auxin concentrations. Repression is thought to result from the interaction with auxin response factors (ARFs), proteins that bind to the auxin-responsive promoter element (AuxRE). Formation of heterodimers with ARF proteins may alter their ability to modulate early auxin response genes expression (By similarity). {ECO:0000250}.		DEVELOPMENTAL STAGE: Found in elongating hypocotyls.		nucleus [GO:0005634]; auxin-activated signaling pathway [GO:0009734]; regulation of DNA-templated transcription [GO:0006355]	GO:0005634; GO:0006355; GO:0009734
GL116_ARATH	Q9FIC8	GL116_ARATH	Germin-like protein subfamily 1 member 16	At5g39130 MXF12.16 MXF12_140	Arabidopsis thaliana (Mouse-ear cress)	222	FUNCTION: May play a role in plant defense. Probably has no oxalate oxidase activity even if the active site is conserved.				apoplast [GO:0048046]; manganese ion binding [GO:0030145]	GO:0030145; GO:0048046
BGA14_ARATH	Q9SCU8	BGA14_ARATH	Beta-galactosidase 14 (Lactase 14) (EC 3.2.1.23)	BGAL14 At4g38590 F20M13.150	Arabidopsis thaliana (Mouse-ear cress)	887					apoplast [GO:0048046]; vacuole [GO:0005773]; beta-galactosidase activity [GO:0004565]; carbohydrate binding [GO:0030246]; carbohydrate metabolic process [GO:0005975]	GO:0004565; GO:0005773; GO:0005975; GO:0030246; GO:0048046
AGP23_ARATH	Q8S2W4	AGP23_ARATH	Arabinogalactan protein 23 (AtAGP23) (Arabinogalactan peptide 23) (AG-peptide 23)	AGP23 At3g57690 F15B8.120	Arabidopsis thaliana (Mouse-ear cress)	61	FUNCTION: Proteoglycan that seems to be implicated in diverse developmental roles such as differentiation, cell-cell recognition, embryogenesis and programmed cell death. {ECO:0000305}.			TISSUE SPECIFICITY: Expressed in pollen grains. {ECO:0000269|PubMed:25053647}.	plasma membrane [GO:0005886]	GO:0005886
ERF25_ARATH	Q9FJ90	ERF25_ARATH	Ethylene-responsive transcription factor ERF025	ERF025 At5g52020 MSG15.10	Arabidopsis thaliana (Mouse-ear cress)	232	FUNCTION: Probably acts as a transcriptional activator. Binds to the GCC-box pathogenesis-related promoter element. May be involved in the regulation of gene expression by stress factors and by components of stress signal transduction pathways (By similarity). {ECO:0000250}.				nucleus [GO:0005634]; DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]; defense response to fungus [GO:0050832]; ethylene-activated signaling pathway [GO:0009873]; glucosinolate metabolic process [GO:0019760]	GO:0000976; GO:0003700; GO:0005634; GO:0009873; GO:0019760; GO:0050832
FB346_ARATH	Q2V3R1	FB346_ARATH	F-box protein At3g44326	At3g44326 T22K7	Arabidopsis thaliana (Mouse-ear cress)	363					membrane [GO:0016020]; SCF ubiquitin ligase complex [GO:0019005]; regulation of steroid metabolic process [GO:0019218]	GO:0016020; GO:0019005; GO:0019218
C72B2_PINTA	Q50EK5	C72B2_PINTA	Cytochrome P450 720B2 (EC 1.14.-.-) (Cytochrome P450 CYPB)	CYP720B2	Pinus taeda (Loblolly pine)	487					membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]	GO:0004497; GO:0005506; GO:0016020; GO:0016705; GO:0020037
C85A1_ORYSJ	Q8GSQ1	C85A1_ORYSJ	Cytochrome P450 85A1 (OsCYP85A1) (3-dehydroteasterone synthase) (EC 1.14.14.-) (C6-oxidase) (Protein DWARF) (OsDWARF) (Teasterone synthase) (EC 1.14.14.-) (Typhasterol synthase) (EC 1.14.14.-)	CYP85A1 DWARF Os03g0602300 LOC_Os03g40540 OJ1519_A12.12 OsJNBa0015G17.1	Oryza sativa subsp. japonica (Rice)	469	FUNCTION: Catalyzes the C6-oxidation step in brassinosteroids biosynthesis (PubMed:12427982, PubMed:12445121). May convert 6-deoxoteasterone (6-deoxoTE) to teasterone (TE), 3-dehydro-6-deoxoteasterone (6-deoxo3DT, 6-deoxo3DHT) to 3-dehydroteasterone (3DT, 3-DHT), and 6-deoxotyphasterol (6-deoxoTY) to typhasterol (TY) (PubMed:12427982, PubMed:12445121). Involved in the organization and elongation of the leaf and stem cells (PubMed:12427982, PubMed:12445121). Not able to convert 6-deoxocastasterone (6-deoxoCS) and castasterone (CS) to brassinolide (BL) (PubMed:18656444). {ECO:0000269|PubMed:12427982, ECO:0000269|PubMed:12445121, ECO:0000269|PubMed:18656444}.	PATHWAY: Plant hormone biosynthesis; brassinosteroid biosynthesis. {ECO:0000269|PubMed:12427982, ECO:0000269|PubMed:12445121}.		TISSUE SPECIFICITY: Expressed at low levels in all the tissues, but preferentially in the leaf sheath. {ECO:0000269|PubMed:12445121}.	membrane [GO:0016020]; heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]; brassinosteroid biosynthetic process [GO:0016132]; brassinosteroid homeostasis [GO:0010268]; microtubule bundle formation [GO:0001578]; skotomorphogenesis [GO:0009647]; sterol metabolic process [GO:0016125]	GO:0001578; GO:0004497; GO:0005506; GO:0009647; GO:0010268; GO:0016020; GO:0016125; GO:0016132; GO:0016705; GO:0020037
BCH1_CAPAN	O49815	BCH1_CAPAN	Beta-carotene hydroxylase 1, chloroplastic (EC 1.14.15.24)	CA1 CrtZ-2 LOC107863219 T459_09470	Capsicum annuum (Capsicum pepper)	315	FUNCTION: Nonheme diiron monooxygenase involved in the biosynthesis of xanthophylls. Specific for beta-ring hydroxylations of beta-carotene. Produces beta-cryptoxanthin and zeaxanthin. Uses ferredoxin as an electron donor. {ECO:0000269|PubMed:9555077}.		DEVELOPMENTAL STAGE: Up-regulated during chloroplast to chromoplast transition stage. {ECO:0000269|PubMed:9555077}.		chloroplast membrane [GO:0031969]; beta-carotene 3-hydroxylase activity [GO:0052611]; beta-cryptoxanthin hydroxylase activity [GO:0052610]; hydrolase activity [GO:0016787]; iron ion binding [GO:0005506]; carotenoid biosynthetic process [GO:0016117]	GO:0005506; GO:0016117; GO:0016787; GO:0031969; GO:0052610; GO:0052611
